ID	Review	Trending Topics length	Trending Topics
755168293791555584	RT @ChannelNewsAsia: Mexico president apologises for scandal, vows to fight graft with new law https://t.co/ttOnkVvZ0o	9	[{"score":9.954832400750572,"topic":"axe shot"},{"score":9.953836917510497,"topic":"train passengers"},{"score":9.952841533818745,"topic":"germany"},{"score":9.950851065040398,"topic":"afghan"},{"score":5.978641700360284,"topic":"ballistic missiles"},{"score":5.977446031806629,"topic":"north korea"},{"score":5.136587275396545,"topic":"range"},{"score":4.95867098089554,"topic":"dengue cases"},{"score":4.49509630882447,"topic":"police"}]
755166334623690752	RT @ChannelNewsAsia: German police say several critically wounded in axe attack on train https://t.co/gzL1rkUx0L	9	[{"score":9.952841533818745,"topic":"axe shot"},{"score":9.951846249665364,"topic":"train passengers"},{"score":9.950851065040398,"topic":"germany"},{"score":9.9488609943359,"topic":"afghan"},{"score":5.977446031806629,"topic":"ballistic missiles"},{"score":5.976250602374728,"topic":"north korea"},{"score":5.135560009307339,"topic":"range"},{"score":4.957679296286071,"topic":"dengue cases"},{"score":4.945836827973962,"topic":"police"}]
755162792810934272	@ChannelNewsAsia #LameStreamMedia again tries 2 make mountain out of a mole hill.Democracy works not Socialism.DNC will B coronation instead	9	[{"score":9.94587663449348,"topic":"axe shot"},{"score":9.944882046830031,"topic":"train passengers"},{"score":9.943887558625349,"topic":"germany"},{"score":9.9418988805525,"topic":"afghan"},{"score":5.973263074638841,"topic":"ballistic missiles"},{"score":5.972068481756544,"topic":"north korea"},{"score":5.1319661955887,"topic":"range"},{"score":4.954209961717822,"topic":"dengue cases"},{"score":4.942375780647028,"topic":"police"}]
755157909474988032	RT @SimonMarksFSN: Coming up at 6am, watch me live from #RNCinCLE on @ChannelNewsAsia OR listen to @NickHarperFSN live @official938LIVE You…	9	[{"score":9.943887558625349,"topic":"axe shot"},{"score":9.942893169869487,"topic":"train passengers"},{"score":9.9418988805525,"topic":"germany"},{"score":9.939910600195379,"topic":"afghan"},{"score":5.972068481756544,"topic":"ballistic missiles"},{"score":5.970874127780878,"topic":"north korea"},{"score":5.130939853669244,"topic":"range"},{"score":4.953219169267578,"topic":"dengue cases"},{"score":4.9413873549146565,"topic":"police"}]
755157628368453633	Coming up at 6am, watch me live from #RNCinCLE on @ChannelNewsAsia OR listen to @NickHarperFSN live @official938LIVE You pays your money...	9	[{"score":9.940904690664444,"topic":"axe shot"},{"score":9.939910600195379,"topic":"train passengers"},{"score":9.93891660913536,"topic":"germany"},{"score":9.936928925202698,"topic":"afghan"},{"score":5.970277040368099,"topic":"ballistic missiles"},{"score":5.9690830446627965,"topic":"north korea"},{"score":5.129400725636208,"topic":"range"},{"score":4.95173335210842,"topic":"dengue cases"},{"score":4.939905086944862,"topic":"police"}]
755153067272699904	RT @ChannelNewsAsia: Fiat Chrysler faces probes on US car sales https://t.co/bWQrutYAg0	9	[{"score":9.937922717474446,"topic":"axe shot"},{"score":9.936928925202698,"topic":"train passengers"},{"score":9.935935232310179,"topic":"germany"},{"score":9.933948144623068,"topic":"afghan"},{"score":5.96848613635833,"topic":"ballistic missiles"},{"score":5.96729249881592,"topic":"north korea"},{"score":5.127862059295411,"topic":"range"},{"score":4.950247980649835,"topic":"dengue cases"},{"score":4.938423263610993,"topic":"police"}]
755152678917906432	RT @ChannelNewsAsia: Mexico president apologises for scandal, vows to fight graft with new law https://t.co/ttOnkVvZ0o	9	[{"score":9.933948144623068,"topic":"axe shot"},{"score":9.932954749808607,"topic":"train passengers"},{"score":9.931961454333626,"topic":"germany"},{"score":9.929975161362375,"topic":"afghan"},{"score":5.966099099989082,"topic":"ballistic missiles"},{"score":5.964905939830075,"topic":"north korea"},{"score":5.1258112221229055,"topic":"range"},{"score":4.948268178452653,"topic":"dengue cases"},{"score":4.936448190591191,"topic":"police"}]
755152677437317124	RT @ChannelNewsAsia: Drake's 'Views' takes 10th week atop Billboard 200 chart https://t.co/sURAtJV459	9	[{"score":9.930968258188193,"topic":"axe shot"},{"score":9.929975161362375,"topic":"train passengers"},{"score":9.92898216384624,"topic":"germany"},{"score":9.926996466703292,"topic":"afghan"},{"score":5.964309449236092,"topic":"ballistic missiles"},{"score":5.96311664698934,"topic":"north korea"},{"score":5.12427363252548,"topic":"range"},{"score":4.946783846442215,"topic":"dengue cases"},{"score":4.934967404222523,"topic":"police"}]
755145863601778689	RT @ChannelNewsAsia: Netflix's subscription additions miss expectations https://t.co/HO875urjQK	9	[{"score":9.92898216384624,"topic":"axe shot"},{"score":9.927989265629854,"topic":"train passengers"},{"score":9.926996466703292,"topic":"germany"},{"score":9.925011166679917,"topic":"afghan"},{"score":5.96311664698934,"topic":"ballistic missiles"},{"score":5.961924083291108,"topic":"north korea"},{"score":5.12324882904171,"topic":"range"},{"score":4.945794539140765,"topic":"dengue cases"},{"score":4.9339804600913535,"topic":"police"}]
755145862863519745	RT @ChannelNewsAsia: Dow, S&P 500 close at fresh records https://t.co/p1JrFHiqks	9	[{"score":9.927989265629854,"topic":"axe shot"},{"score":9.926996466703292,"topic":"train passengers"},{"score":9.926003767056622,"topic":"germany"},{"score":9.92401866556325,"topic":"afghan"},{"score":5.9625203353246405,"topic":"ballistic missiles"},{"score":5.961327890882779,"topic":"north korea"},{"score":5.122736504158806,"topic":"range"},{"score":4.945299959686851,"topic":"dengue cases"},{"score":4.933487062045344,"topic":"police"}]
755145861387030533	RT @ChannelNewsAsia: Fiat Chrysler faces probes on US car sales https://t.co/bWQrutYAg0	9	[{"score":9.925011166679917,"topic":"axe shot"},{"score":9.92401866556325,"topic":"train passengers"},{"score":9.923026263696693,"topic":"germany"},{"score":9.921041757674216,"topic":"afghan"},{"score":5.960731758093691,"topic":"ballistic missiles"},{"score":5.95953967134939,"topic":"north korea"},{"score":5.12119983688453,"topic":"range"},{"score":4.943816518052999,"topic":"dengue cases"},{"score":4.932007163926409,"topic":"police"}]
755143648254291968	RT @SimonMarksFSN: Astonishing scenes at #RNCinCLE   I'm live from the Convention arena @ChannelNewsAsia at 5 o'clock.	9	[{"score":9.922033961070323,"topic":"axe shot"},{"score":9.921041757674216,"topic":"train passengers"},{"score":9.920049653498449,"topic":"germany"},{"score":9.918065742768247,"topic":"afghan"},{"score":5.958943717382255,"topic":"ballistic missiles"},{"score":5.957751988228216,"topic":"north korea"},{"score":5.119663630564339,"topic":"range"},{"score":4.942333521407135,"topic":"dengue cases"},{"score":4.930527709732514,"topic":"police"}]
755143555576848384	Astonishing scenes at #RNCinCLE   I'm live from the Convention arena @ChannelNewsAsia at 5 o'clock.	9	[{"score":9.9190576485331,"topic":"axe shot"},{"score":9.918065742768247,"topic":"train passengers"},{"score":9.91707393619397,"topic":"germany"},{"score":9.915090620577471,"topic":"afghan"},{"score":5.957156213029393,"topic":"ballistic missiles"},{"score":5.955964841358349,"topic":"north korea"},{"score":5.118127885059958,"topic":"range"},{"score":4.940850969615776,"topic":"dengue cases"},{"score":4.929048699330496,"topic":"police"}]
755139023274807296	@ChannelNewsAsia A Lying&Corrupt candidate like Hillary can never be president.Do you think Hillary could be a politician in SG?No in Jail.	9	[{"score":9.915090620577471,"topic":"axe shot"},{"score":9.914099111515414,"topic":"train passengers"},{"score":9.913107701604263,"topic":"germany"},{"score":9.911125179195018,"topic":"afghan"},{"score":5.954773707949726,"topic":"ballistic missiles"},{"score":5.953582812755873,"topic":"north korea"},{"score":5.116080940973135,"topic":"range"},{"score":4.938874925659226,"topic":"dengue cases"},{"score":4.92707737557397,"topic":"police"}]
755137094331330560	RT @ChannelNewsAsia: No shaking off Taylor Swift-Kanye West 'Famous' feud https://t.co/6EDP70UWfL	9	[{"score":9.913107701604263,"topic":"axe shot"},{"score":9.912116390834102,"topic":"train passengers"},{"score":9.911125179195018,"topic":"germany"},{"score":9.909143053270432,"topic":"afghan"},{"score":5.953582812755873,"topic":"ballistic missiles"},{"score":5.95239215572915,"topic":"north korea"},{"score":5.1150577759457505,"topic":"range"},{"score":4.9378872000628435,"topic":"dengue cases"},{"score":4.926092009369629,"topic":"police"}]
755137092276060164	RT @ChannelNewsAsia: Australian keeper Birighitti joins Swansea https://t.co/E0BQWNV4RZ	9	[{"score":9.911125179195018,"topic":"axe shot"},{"score":9.910134066677099,"topic":"train passengers"},{"score":9.909143053270432,"topic":"germany"},{"score":9.90716132375121,"topic":"afghan"},{"score":5.95239215572915,"topic":"ballistic missiles"},{"score":5.951201736821925,"topic":"north korea"},{"score":5.11403481554114,"topic":"range"},{"score":4.936899672001703,"topic":"dengue cases"},{"score":4.9251068402286755,"topic":"police"}]
