ID	Review	Trending Topics length	Trending Topics
755157628368453633	Coming up at 6am, watch me live from #RNCinCLE on @ChannelNewsAsia OR listen to @NickHarperFSN live @official938LIVE You pays your money...	14	[{"score":26.707193006801493,"topic":"t co"},{"score":9.897534888953444,"topic":"axe"},{"score":9.894565925402908,"topic":"train passengers"},{"score":9.893576468810368,"topic":"police https"},{"score":9.892587111163486,"topic":"germany"},{"score":9.891597852452369,"topic":"y45kksix23 https"},{"score":9.890608692667124,"topic":"afghan"},{"score":5.949726284197962,"topic":"s korea https"},{"score":5.949131311569542,"topic":"ballistic missiles"},{"score":5.948536398438385,"topic":"r3niannd3h https"},{"score":5.946157340767401,"topic":"north korea"},{"score":5.1097000243196256,"topic":"range"},{"score":4.915226959616781,"topic":"dengue cases"},{"score":4.913261163726892,"topic":"mm1qx1zmcf https"}]
755153067272699904	RT @ChannelNewsAsia: Fiat Chrysler faces probes on US car sales https://t.co/bWQrutYAg0	14	[{"score":26.69651173192353,"topic":"t co"},{"score":9.893576468810368,"topic":"axe"},{"score":9.890608692667124,"topic":"train passengers"},{"score":9.889619631797858,"topic":"police https"},{"score":9.88863066983468,"topic":"germany"},{"score":9.887641806767697,"topic":"y45kksix23 https"},{"score":9.88665304258702,"topic":"afghan"},{"score":5.947346750644062,"topic":"s korea https"},{"score":5.946752015968998,"topic":"ballistic missiles"},{"score":5.946157340767401,"topic":"r3niannd3h https"},{"score":5.943779234576751,"topic":"north korea"},{"score":5.1076564508714615,"topic":"range"},{"score":4.913261163726892,"topic":"dengue cases"},{"score":4.911296154037419,"topic":"mm1qx1zmcf https"}]
755152678917906432	RT @ChannelNewsAsia: Mexico president apologises for scandal, vows to fight graft with new law https://t.co/ttOnkVvZ0o	14	[{"score":27.680197858826244,"topic":"t co"},{"score":9.887641806767697,"topic":"axe"},{"score":9.884675810845032,"topic":"train passengers"},{"score":9.883687343263947,"topic":"police https"},{"score":9.882698974529621,"topic":"germany"},{"score":9.881710704632168,"topic":"y45kksix23 https"},{"score":9.880722533561705,"topic":"afghan"},{"score":5.943779234576751,"topic":"s korea https"},{"score":5.943184856653294,"topic":"ballistic missiles"},{"score":5.942590538167629,"topic":"r3niannd3h https"},{"score":5.940213858484024,"topic":"north korea"},{"score":5.104592623047261,"topic":"range"},{"score":4.910313943919573,"topic":"dengue cases"},{"score":4.908350112941201,"topic":"mm1qx1zmcf https"}]
755152677437317124	RT @ChannelNewsAsia: Drake's 'Views' takes 10th week atop Billboard 200 chart https://t.co/sURAtJV459	14	[{"score":27.669127440383868,"topic":"t co"},{"score":9.883687343263947,"topic":"axe"},{"score":9.880722533561705,"topic":"train passengers"},{"score":9.879734461308349,"topic":"police https"},{"score":9.878746487862218,"topic":"germany"},{"score":9.877758613213432,"topic":"y45kksix23 https"},{"score":9.876770837352112,"topic":"afghan"},{"score":5.941402079485901,"topic":"s korea https"},{"score":5.940807939277952,"topic":"ballistic missiles"},{"score":5.940213858484024,"topic":"r3niannd3h https"},{"score":5.937838129329702,"topic":"north korea"},{"score":5.102551092253182,"topic":"range"},{"score":4.908350112941201,"topic":"dengue cases"},{"score":4.906387067377398,"topic":"mm1qx1zmcf https"}]
755145863601778689	RT @ChannelNewsAsia: Netflix's subscription additions miss expectations https://t.co/HO875urjQK	14	[{"score":28.657861459444685,"topic":"t co"},{"score":9.879734461308349,"topic":"axe"},{"score":9.876770837352112,"topic":"train passengers"},{"score":9.875783160268377,"topic":"police https"},{"score":9.87479558195235,"topic":"germany"},{"score":9.873808102394156,"topic":"y45kksix23 https"},{"score":9.872820721583917,"topic":"afghan"},{"score":5.939025875114466,"topic":"s korea https"},{"score":5.9384319725269545,"topic":"ballistic missiles"},{"score":5.937838129329702,"topic":"r3niannd3h https"},{"score":5.935463350324508,"topic":"north korea"},{"score":5.100510377948936,"topic":"range"},{"score":4.906387067377398,"topic":"dengue cases"},{"score":4.904424806914046,"topic":"mm1qx1zmcf https"}]
755145862863519745	RT @ChannelNewsAsia: Dow, S&P 500 close at fresh records https://t.co/p1JrFHiqks	14	[{"score":28.652130173731415,"topic":"t co"},{"score":9.877758613213432,"topic":"axe"},{"score":9.87479558195235,"topic":"train passengers"},{"score":9.873808102394156,"topic":"police https"},{"score":9.872820721583917,"topic":"germany"},{"score":9.871833439511759,"topic":"y45kksix23 https"},{"score":9.870846256167807,"topic":"afghan"},{"score":5.937838129329702,"topic":"s korea https"},{"score":5.937244345516769,"topic":"ballistic missiles"},{"score":5.936650621082217,"topic":"r3niannd3h https"},{"score":5.934276317009076,"topic":"north korea"},{"score":5.09949032687845,"topic":"range"},{"score":4.905405839027794,"topic":"dengue cases"},{"score":4.9034439709969115,"topic":"mm1qx1zmcf https"}]
755145861387030533	RT @ChannelNewsAsia: Fiat Chrysler faces probes on US car sales https://t.co/bWQrutYAg0	14	[{"score":28.64067104067513,"topic":"t co"},{"score":9.873808102394156,"topic":"axe"},{"score":9.870846256167807,"topic":"train passengers"},{"score":9.86985917154219,"topic":"police https"},{"score":9.868872185625037,"topic":"germany"},{"score":9.867885298406474,"topic":"y45kksix23 https"},{"score":9.866898509876634,"topic":"afghan"},{"score":5.935463350324508,"topic":"s korea https"},{"score":5.934869803989475,"topic":"ballistic missiles"},{"score":5.934276317009076,"topic":"r3niannd3h https"},{"score":5.931902962515116,"topic":"north korea"},{"score":5.09745083669672,"topic":"range"},{"score":4.9034439709969115,"topic":"dengue cases"},{"score":4.901482887595538,"topic":"mm1qx1zmcf https"}]
755143648254291968	RT @SimonMarksFSN: Astonishing scenes at #RNCinCLE   I'm live from the Convention arena @ChannelNewsAsia at 5 o'clock.	14	[{"score":28.629216490584565,"topic":"t co"},{"score":9.86985917154219,"topic":"axe"},{"score":9.866898509876634,"topic":"train passengers"},{"score":9.865911820025646,"topic":"police https"},{"score":9.864925228843644,"topic":"germany"},{"score":9.86393873632076,"topic":"y45kksix23 https"},{"score":9.862952342447128,"topic":"afghan"},{"score":5.933089521088438,"topic":"s korea https"},{"score":5.932496212136329,"topic":"ballistic missiles"},{"score":5.931902962515116,"topic":"r3niannd3h https"},{"score":5.929530557220561,"topic":"north korea"},{"score":5.095412162188702,"topic":"range"},{"score":4.901482887595538,"topic":"dengue cases"},{"score":4.8995225885098685,"topic":"mm1qx1zmcf https"}]
755143555576848384	Astonishing scenes at #RNCinCLE   I'm live from the Convention arena @ChannelNewsAsia at 5 o'clock.	14	[{"score":28.620628584485253,"topic":"t co"},{"score":9.866898509876634,"topic":"axe"},{"score":9.86393873632076,"topic":"train passengers"},{"score":9.862952342447128,"topic":"police https"},{"score":9.861966047212883,"topic":"germany"},{"score":9.860979850608162,"topic":"y45kksix23 https"},{"score":9.859993752623101,"topic":"afghan"},{"score":5.931309772218865,"topic":"s korea https"},{"score":5.930716641241642,"topic":"ballistic missiles"},{"score":5.9301235695775185,"topic":"r3niannd3h https"},{"score":5.927751875933383,"topic":"north korea"},{"score":5.093883691397315,"topic":"range"},{"score":4.900012589768846,"topic":"dengue cases"},{"score":4.898052878714094,"topic":"mm1qx1zmcf https"}]
755139023274807296	@ChannelNewsAsia A Lying&Corrupt candidate like Hillary can never be president.Do you think Hillary could be a politician in SG?No in Jail.	14	[{"score":28.60632113196968,"topic":"t co"},{"score":9.861966047212883,"topic":"axe"},{"score":9.85900775324784,"topic":"train passengers"},{"score":9.858021852472515,"topic":"police https"},{"score":9.857036050287267,"topic":"germany"},{"score":9.856050346682238,"topic":"y45kksix23 https"},{"score":9.85506474164757,"topic":"afghan"},{"score":5.928344710404423,"topic":"s korea https"},{"score":5.927751875933383,"topic":"ballistic missiles"},{"score":5.92715910074579,"topic":"r3niannd3h https"},{"score":5.92478859271133,"topic":"north korea"},{"score":5.09133725888905,"topic":"range"},{"score":4.897563073426223,"topic":"dengue cases"},{"score":4.895604342031047,"topic":"mm1qx1zmcf https"}]
755137094331330560	RT @ChannelNewsAsia: No shaking off Taylor Swift-Kanye West 'Famous' feud https://t.co/6EDP70UWfL	14	[{"score":29.59468032978174,"topic":"t co"},{"score":9.858021852472515,"topic":"axe"},{"score":9.85506474164757,"topic":"train passengers"},{"score":9.854079235173407,"topic":"police https"},{"score":9.85309382724989,"topic":"germany"},{"score":9.852108517867164,"topic":"y45kksix23 https"},{"score":9.851123307015378,"topic":"afghan"},{"score":5.925973728197232,"topic":"s korea https"},{"score":5.925381130824412,"topic":"ballistic missiles"},{"score":5.92478859271133,"topic":"r3niannd3h https"},{"score":5.922419032737863,"topic":"north korea"},{"score":5.089301029445365,"topic":"range"},{"score":4.895604342031047,"topic":"dengue cases"},{"score":4.893646394010913,"topic":"mm1qx1zmcf https"}]
755137092276060164	RT @ChannelNewsAsia: Australian keeper Birighitti joins Swansea https://t.co/E0BQWNV4RZ	14	[{"score":29.585802813493622,"topic":"t co"},{"score":9.85506474164757,"topic":"axe"},{"score":9.852108517867164,"topic":"train passengers"},{"score":9.851123307015378,"topic":"police https"},{"score":9.850138194684677,"topic":"germany"},{"score":9.849153180865208,"topic":"y45kksix23 https"},{"score":9.848168265547121,"topic":"afghan"},{"score":5.924196113852059,"topic":"s korea https"},{"score":5.923603694240674,"topic":"ballistic missiles"},{"score":5.92301133387125,"topic":"r3niannd3h https"},{"score":5.920642484694691,"topic":"north korea"},{"score":5.0877743918104725,"topic":"range"},{"score":4.894135807591672,"topic":"dengue cases"},{"score":4.892178446897208,"topic":"mm1qx1zmcf https"}]
755136864017801216	RT @ChannelNewsAsia: Australian keeper Birighitti joins Swansea https://t.co/E0BQWNV4RZ	14	[{"score":29.576927960194073,"topic":"t co"},{"score":9.852108517867164,"topic":"axe"},{"score":9.849153180865208,"topic":"train passengers"},{"score":9.848168265547121,"topic":"police https"},{"score":9.847183448720568,"topic":"germany"},{"score":9.846198730375695,"topic":"y45kksix23 https"},{"score":9.845214110502658,"topic":"afghan"},{"score":5.922419032737863,"topic":"s korea https"},{"score":5.921826790834589,"topic":"ballistic missiles"},{"score":5.921234608155506,"topic":"r3niannd3h https"},{"score":5.918866469562636,"topic":"north korea"},{"score":5.086248212121073,"topic":"range"},{"score":4.892667713668574,"topic":"dengue cases"},{"score":4.8907109401236,"topic":"mm1qx1zmcf https"}]
755136656882163712	RT @ChannelNewsAsia: Australian keeper Birighitti joins Swansea https://t.co/E0BQWNV4RZ	14	[{"score":29.568055769084275,"topic":"t co"},{"score":9.849153180865208,"topic":"axe"},{"score":9.846198730375695,"topic":"train passengers"},{"score":9.845214110502658,"topic":"police https"},{"score":9.844229589091608,"topic":"germany"},{"score":9.843245166132698,"topic":"y45kksix23 https"},{"score":9.842260841616085,"topic":"afghan"},{"score":5.920642484694691,"topic":"s korea https"},{"score":5.920050420446221,"topic":"ballistic missiles"},{"score":5.9194584154041765,"topic":"r3niannd3h https"},{"score":5.917090987181844,"topic":"north korea"},{"score":5.084722490239797,"topic":"range"},{"score":4.891200060129613,"topic":"dengue cases"},{"score":4.889243873558001,"topic":"mm1qx1zmcf https"}]
755130505704669185	RT @ChannelNewsAsia: Football: Swansea sign Aussie goalkeeper Birighitti https://t.co/PSkWut4AS2	14	[{"score":30.55603033074172,"topic":"t co"},{"score":9.845214110502658,"topic":"axe"},{"score":9.842260841616085,"topic":"train passengers"},{"score":9.841276615531923,"topic":"police https"},{"score":9.84029248787037,"topic":"germany"},{"score":9.839308458621582,"topic":"y45kksix23 https"},{"score":9.83832452777572,"topic":"afghan"},{"score":5.91827458291568,"topic":"s korea https"},{"score":5.917682755457389,"topic":"ballistic missiles"},{"score":5.917090987181844,"topic":"r3niannd3h https"},{"score":5.9147245057887625,"topic":"north korea"},{"score":5.082688906306713,"topic":"range"},{"score":4.889243873558001,"topic":"dengue cases"},{"score":4.887288469343654,"topic":"mm1qx1zmcf https"}]
